City,1,2,3,4
Abu Dhabi,0,4,6,10
Agra,3,6,6,5
Ahmedabad,1,8,11,1
Albany,11,5,3,1
Allahabad,2,4,13,1
Amritsar,7,11,3,0
Ankara,0,6,12,2
Armidale,0,1,0,0
Athens,12,4,4,0
Auckland,2,2,9,7
Augusta,4,9,7,0
Aurangabad,1,15,3,1
Balingup,0,1,0,0
Bandung,0,0,1,0
Bangalore,1,6,11,2
Beechworth,0,1,0,0
Bhopal,2,14,3,1
Bhubaneshwar,6,12,3,0
Birmingham,3,8,7,2
Bogor,0,1,1,0
Boise,6,9,3,2
Bras�_lia,2,4,4,10
Cape Town,0,4,8,8
Cedar Rapids/Iowa City,5,9,6,0
Chandigarh,1,8,8,1
Chatham-Kent,0,1,0,0
Chennai,2,8,9,1
Clatskanie,1,0,0,0
Cochrane,0,1,0,0
Coimbatore,1,11,7,1
Colombo,0,6,11,3
Columbus,4,9,7,0
Consort,0,1,0,0
Dalton,13,6,1,0
Davenport,4,13,2,1
Dehradun,1,2,12,5
Des Moines,4,10,5,1
Dicky Beach,1,0,0,0
Doha,0,1,5,14
Dubai,0,2,15,3
Dubuque,7,9,3,1
East Ballina,0,1,0,0
Edinburgh,0,6,10,4
Faridabad,151,86,14,0
Fernley,1,0,0,0
Flaxton,0,0,1,0
Forrest,0,1,0,0
Gainesville,8,9,3,0
Ghaziabad,9,13,2,1
Goa,0,0,7,13
Gurgaon,453,440,158,67
Guwahati,1,10,8,2
Hepburn Springs,1,1,0,0
Huskisson,0,1,0,0
Hyderabad,0,3,14,1
Indore,1,7,8,4
Inner City,0,0,0,2
Inverloch,1,0,0,0
Jaipur,0,6,11,3
Jakarta,0,0,16,0
Johannesburg,0,0,0,6
Kanpur,2,7,6,5
Kochi,4,11,5,0
Kolkata,0,3,17,0
Lakes Entrance,1,0,0,0
Lakeview,1,0,0,0
Lincoln,0,1,0,0
London,0,6,8,6
Lorn,0,1,0,0
Lucknow,2,7,10,2
Ludhiana,1,6,12,1
Macedon,0,1,0,0
Macon,6,9,2,2
Makati City,0,0,2,0
Manchester,1,8,7,4
Mandaluyong City,0,0,1,3
Mangalore,1,10,7,2
Mayfield,0,1,0,0
Mc Millan,1,0,0,0
Middleton Beach,0,0,1,0
Mohali,0,1,0,0
Monroe,0,1,0,0
Montville,0,0,1,0
Mumbai,0,5,15,0
Mysore,2,10,5,3
Nagpur,3,9,7,1
Nashik,2,4,10,4
New Delhi,3052,1656,549,216
Noida,565,401,93,21
Ojo Caliente,0,0,1,0
Orlando,1,4,10,4
Palm Cove,0,0,1,0
Panchkula,0,0,0,1
Pasay City,0,0,0,3
Pasig City,0,0,3,0
Patna,1,11,6,2
Paynesville,0,0,0,1
Penola,0,1,0,0
Pensacola,3,7,10,0
Phillip Island,0,1,0,0
Pocatello,9,6,5,0
Potrero,0,1,0,0
Pretoria,0,0,6,14
Princeton,0,0,0,1
Puducherry,2,4,6,8
Pune,0,3,15,2
Quezon City,0,0,1,0
Ranchi,7,6,6,1
Randburg,0,0,1,0
Rest of Hawaii,5,4,7,3
Rio de Janeiro,0,1,8,11
San Juan City,0,0,2,0
Sandton,0,0,2,9
Santa Rosa,0,0,2,0
Savannah,4,6,6,3
Secunderabad,0,2,0,0
Sharjah,0,3,8,9
Singapore,0,1,5,14
Sioux City,9,5,5,1
Surat,2,5,11,2
S��o Paulo,0,2,4,14
Tagaytay City,0,0,1,0
Taguig City,0,1,0,3
Tampa Bay,2,7,9,2
Tangerang,0,0,2,0
Tanunda,0,0,1,0
Trentham East,0,1,0,0
Vadodara,1,8,9,2
Valdosta,3,10,6,1
Varanasi,3,7,8,2
Vernonia,1,0,0,0
Victor Harbor,0,1,0,0
Vineland Station,0,0,0,1
Vizag,2,12,3,3
Waterloo,8,9,3,0
Weirton,0,1,0,0
Wellington City,1,2,8,9
Winchester Bay,0,1,0,0
Yorkton,0,1,0,0
��stanbul,0,5,6,3
